a,negskew,duvol,Date,year,month,country,GDP,corruption,governmentEffectiveness,politicalStability,regulatoryQuality,ruleOfLaw,voiceAccountability,geopoliticalRisk,gdpPerCapita,gdpGrowth,negskew_annual,duvol_annual
4/1/2001,0.182546674,0.198899295,4/1/2001,2001,15,China,3968.773863,,,,,,,184.436789,1901.40763,8.33991055,-0.004816596,0.078507054
5/1/2001,-0.987776496,-0.173445998,5/1/2001,2001,16,China,3968.773863,,,,,,,117.1233146,1901.40763,8.33991055,-0.004816596,0.078507054
6/1/2001,-0.07198804,0.113213931,6/1/2001,2001,17,China,3968.773863,,,,,,,108.9433468,1901.40763,8.33991055,-0.004816596,0.078507054
7/1/2001,1.403484715,0.208762437,7/1/2001,2001,18,China,3968.773863,,,,,,,108.3133467,1901.40763,8.33991055,-0.004816596,0.078507054
8/1/2001,1.675561502,0.549733159,8/1/2001,2001,19,China,3968.773863,,,,,,,101.1229892,1901.40763,8.33991055,-0.004816596,0.078507054
9/1/2001,0.954597328,0.232223476,9/1/2001,2001,20,China,3968.773863,,,,,,,172.9432941,1901.40763,8.33991055,-0.004816596,0.078507054
10/1/2001,-0.306588233,-0.272007183,10/1/2001,2001,21,China,3968.773863,,,,,,,185.8710073,1901.40763,8.33991055,-0.004816596,0.078507054
11/1/2001,-0.210085969,-0.116224201,11/1/2001,2001,22,China,3968.773863,,,,,,,126.0346213,1901.40763,8.33991055,-0.004816596,0.078507054
12/1/2001,0.866872447,0.308596764,12/1/2001,2001,23,China,3968.773863,,,,,,,139.9786297,1901.40763,8.33991055,-0.004816596,0.078507054
1/1/2002,0.130958433,0.041382088,1/1/2002,2002,24,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,125.8084484,2061.162284,9.130645945,0.931747065,0.320016382
2/1/2002,0.030979949,-0.012802739,2/1/2002,2002,25,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,110.0912173,2061.162284,9.130645945,0.931747065,0.320016382
3/1/2002,0.261290403,0.019008568,3/1/2002,2002,26,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,95.09932417,2061.162284,9.130645945,0.931747065,0.320016382
4/1/2002,-1.272702573,-0.233183446,4/1/2002,2002,27,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,87.90322607,2061.162284,9.130645945,0.931747065,0.320016382
5/1/2002,-0.59128085,-0.225938179,5/1/2002,2002,28,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,90.42158647,2061.162284,9.130645945,0.931747065,0.320016382
6/1/2002,0.670986808,0.157163629,6/1/2002,2002,29,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,92.5952127,2061.162284,9.130645945,0.931747065,0.320016382
7/1/2002,-0.441704767,0.144509967,7/1/2002,2002,30,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,98.7499768,2061.162284,9.130645945,0.931747065,0.320016382
8/1/2002,0.380533556,-0.044199149,8/1/2002,2002,31,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,106.1462251,2061.162284,9.130645945,0.931747065,0.320016382
9/1/2002,-0.545668633,-0.242798281,9/1/2002,2002,32,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,137.6140216,2061.162284,9.130645945,0.931747065,0.320016382
10/1/2002,-0.186220244,-0.070253205,10/1/2002,2002,33,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,131.655866,2061.162284,9.130645945,0.931747065,0.320016382
11/1/2002,0.024114411,-0.083434422,11/1/2002,2002,34,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,97.01918758,2061.162284,9.130645945,0.931747065,0.320016382
12/1/2002,0.417086967,0.165720888,12/1/2002,2002,35,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,129.3979062,2061.162284,9.130645945,0.931747065,0.320016382
1/1/2003,-1.541558228,-0.462269727,1/1/2003,2003,36,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,163.8289093,2253.929689,10.03560303,-0.230332132,-0.136146353
2/1/2003,0.135325878,0.025272028,2/1/2003,2003,37,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,206.6961081,2253.929689,10.03560303,-0.230332132,-0.136146353
3/1/2003,0.846776291,-0.007156789,3/1/2003,2003,38,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,183.2895959,2253.929689,10.03560303,-0.230332132,-0.136146353
4/1/2003,1.472266391,0.544795389,4/1/2003,2003,39,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,165.6335575,2253.929689,10.03560303,-0.230332132,-0.136146353
5/1/2003,-1.449681661,-0.493466211,5/1/2003,2003,40,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,116.7353903,2253.929689,10.03560303,-0.230332132,-0.136146353
6/1/2003,-1.357872917,-0.4602317,6/1/2003,2003,41,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,114.746503,2253.929689,10.03560303,-0.230332132,-0.136146353
7/1/2003,-0.499095886,-0.162912114,7/1/2003,2003,42,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,96.86640145,2253.929689,10.03560303,-0.230332132,-0.136146353
8/1/2003,-0.689717585,-0.282989724,8/1/2003,2003,43,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,98.60203583,2253.929689,10.03560303,-0.230332132,-0.136146353
9/1/2003,0.188125046,0.185442145,9/1/2003,2003,44,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,79.41328478,2253.929689,10.03560303,-0.230332132,-0.136146353
10/1/2003,0.973433397,0.446185,10/1/2003,2003,45,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,83.81809705,2253.929689,10.03560303,-0.230332132,-0.136146353
11/1/2003,-0.328909048,-0.094943934,11/1/2003,2003,46,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,79.96576584,2253.929689,10.03560303,-0.230332132,-0.136146353
12/1/2003,-0.959947714,-0.272923312,12/1/2003,2003,47,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,99.52759374,2253.929689,10.03560303,-0.230332132,-0.136146353
1/1/2004,-0.405935038,-0.101695207,1/1/2004,2004,48,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,88.5931051,2467.132843,10.11122346,-0.479582475,-0.208299987
2/1/2004,-0.658641987,-0.137224775,2/1/2004,2004,49,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,80.13176222,2467.132843,10.11122346,-0.479582475,-0.208299987
3/1/2004,0.980886838,0.067429655,3/1/2004,2004,50,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,92.6280856,2467.132843,10.11122346,-0.479582475,-0.208299987
4/1/2004,1.42534499,0.298293993,4/1/2004,2004,51,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,80.48933183,2467.132843,10.11122346,-0.479582475,-0.208299987
5/1/2004,0.03781886,0.241488538,5/1/2004,2004,52,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,99.11632081,2467.132843,10.11122346,-0.479582475,-0.208299987
6/1/2004,0.532135769,0.256746507,6/1/2004,2004,53,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,90.83038046,2467.132843,10.11122346,-0.479582475,-0.208299987
7/1/2004,-0.340200165,-0.081727576,7/1/2004,2004,54,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,88.43348196,2467.132843,10.11122346,-0.479582475,-0.208299987
8/1/2004,-0.189319718,-0.275351384,8/1/2004,2004,55,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,77.84659784,2467.132843,10.11122346,-0.479582475,-0.208299987
9/1/2004,-1.182920501,-0.279628144,9/1/2004,2004,56,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,89.21966102,2467.132843,10.11122346,-0.479582475,-0.208299987
10/1/2004,-0.032685263,-0.053150473,10/1/2004,2004,57,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,83.83518124,2467.132843,10.11122346,-0.479582475,-0.208299987
11/1/2004,-0.5172668,-0.255810214,11/1/2004,2004,58,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,85.27722501,2467.132843,10.11122346,-0.479582475,-0.208299987
12/1/2004,1.46126571,0.629341964,12/1/2004,2004,59,China,5149.601901,-0.56,-0.055238146,-0.390191853,-0.31,-0.53,-1.462463975,79.91717516,2467.132843,10.11122346,-0.479582475,-0.208299987
1/1/2005,0.515948291,0.050193335,1/1/2005,2005,60,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,96.91117401,2732.16588,11.39577594,0.925963635,0.351938027
2/1/2005,-0.851234538,-0.32082881,2/1/2005,2005,61,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,96.43640211,2732.16588,11.39577594,0.925963635,0.351938027
3/1/2005,1.316500584,0.363180426,3/1/2005,2005,62,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,100.7488972,2732.16588,11.39577594,0.925963635,0.351938027
4/1/2005,1.221342762,0.041681817,4/1/2005,2005,63,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,102.9424369,2732.16588,11.39577594,0.925963635,0.351938027
5/1/2005,1.111776188,0.141699741,5/1/2005,2005,64,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,89.75983506,2732.16588,11.39577594,0.925963635,0.351938027
6/1/2005,-0.790670498,-0.36685851,6/1/2005,2005,65,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,93.11712531,2732.16588,11.39577594,0.925963635,0.351938027
7/1/2005,-0.399944789,0.020500672,7/1/2005,2005,66,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,91.16948761,2732.16588,11.39577594,0.925963635,0.351938027
8/1/2005,0.183787274,0.026985225,8/1/2005,2005,67,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,76.05936171,2732.16588,11.39577594,0.925963635,0.351938027
9/1/2005,-2.712591665,-1.018832253,9/1/2005,2005,68,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,75.64210267,2732.16588,11.39577594,0.925963635,0.351938027
10/1/2005,1.349761444,0.357531716,10/1/2005,2005,69,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,74.28450006,2732.16588,11.39577594,0.925963635,0.351938027
11/1/2005,-0.692859576,-0.415355897,11/1/2005,2005,70,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,75.55350978,2732.16588,11.39577594,0.925963635,0.351938027
12/1/2005,-1.442543789,-0.480136601,12/1/2005,2005,71,China,5702.800579,-0.61,-0.119986556,-0.501789033,-0.15,-0.59,-1.500785112,82.55643206,2732.16588,11.39577594,0.925963635,0.351938027
1/1/2006,-1.28025779,-0.441962015,1/1/2006,2006,72,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,82.42491885,3062.534905,12.71947902,-0.573909999,0.127290076
2/1/2006,-0.58817022,-0.34099279,2/1/2006,2006,73,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,87.35769427,3062.534905,12.71947902,-0.573909999,0.127290076
3/1/2006,0.591833813,0.078468284,3/1/2006,2006,74,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,83.79107772,3062.534905,12.71947902,-0.573909999,0.127290076
4/1/2006,-0.313332676,-0.049226303,4/1/2006,2006,75,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,90.24679285,3062.534905,12.71947902,-0.573909999,0.127290076
5/1/2006,0.948834146,0.270746941,5/1/2006,2006,76,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,89.19166176,3062.534905,12.71947902,-0.573909999,0.127290076
6/1/2006,-0.169966281,-0.102735851,6/1/2006,2006,77,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,74.26293389,3062.534905,12.71947902,-0.573909999,0.127290076
7/1/2006,-1.109900738,-0.337639575,7/1/2006,2006,78,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,101.6720835,3062.534905,12.71947902,-0.573909999,0.127290076
8/1/2006,0.112035407,0.004878389,8/1/2006,2006,79,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,86.32895455,3062.534905,12.71947902,-0.573909999,0.127290076
9/1/2006,1.639654211,0.448082862,9/1/2006,2006,80,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,82.35077599,3062.534905,12.71947902,-0.573909999,0.127290076
10/1/2006,0.287670399,0.121439404,10/1/2006,2006,81,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,113.3980631,3062.534905,12.71947902,-0.573909999,0.127290076
11/1/2006,0.572039255,0.234905957,11/1/2006,2006,82,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,87.56648388,3062.534905,12.71947902,-0.573909999,0.127290076
12/1/2006,-2.415154544,-0.724279157,12/1/2006,2006,83,China,6392.373888,-0.51,0.07047493,-0.539763808,-0.2,-0.64,-1.74897027,82.65005364,3062.534905,12.71947902,-0.573909999,0.127290076
1/1/2007,0.357966532,0.157955975,1/1/2007,2007,84,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,94.11879949,3480.152725,14.23138804,0.09419144,0.169741057
2/1/2007,1.27996,0.146670239,2/1/2007,2007,85,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,85.16199737,3480.152725,14.23138804,0.09419144,0.169741057
3/1/2007,1.105208195,0.081690366,3/1/2007,2007,86,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,78.30931271,3480.152725,14.23138804,0.09419144,0.169741057
4/1/2007,1.634614135,0.214621345,4/1/2007,2007,87,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,93.95314002,3480.152725,14.23138804,0.09419144,0.169741057
5/1/2007,-2.112110223,-0.655977697,5/1/2007,2007,88,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,81.88005314,3480.152725,14.23138804,0.09419144,0.169741057
6/1/2007,-2.439983094,-1.000100584,6/1/2007,2007,89,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,78.50877667,3480.152725,14.23138804,0.09419144,0.169741057
7/1/2007,-1.337633149,-0.33062517,7/1/2007,2007,90,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,75.48002695,3480.152725,14.23138804,0.09419144,0.169741057
8/1/2007,-1.012119737,-0.156305708,8/1/2007,2007,91,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,76.28907942,3480.152725,14.23138804,0.09419144,0.169741057
9/1/2007,-2.659215418,-0.853735047,9/1/2007,2007,92,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,95.80457077,3480.152725,14.23138804,0.09419144,0.169741057
10/1/2007,-0.768200415,-0.302508821,10/1/2007,2007,93,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,97.03443622,3480.152725,14.23138804,0.09419144,0.169741057
11/1/2007,0.284947651,0.041448074,11/1/2007,2007,94,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,75.28851882,3480.152725,14.23138804,0.09419144,0.169741057
12/1/2007,0.588343081,-0.001604533,12/1/2007,2007,95,China,7264.060036,-0.59,0.182777718,-0.498820543,-0.17,-0.54,-1.721250176,74.36395406,3480.152725,14.23138804,0.09419144,0.169741057
1/1/2008,0.065693338,-0.036909322,1/1/2008,2008,96,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,74.14583315,3796.633363,9.654289373,-0.61096779,-0.138492046
2/1/2008,-0.635757658,0.074763617,2/1/2008,2008,97,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,75.93087453,3796.633363,9.654289373,-0.61096779,-0.138492046
3/1/2008,0.490513896,0.187672656,3/1/2008,2008,98,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,96.78660349,3796.633363,9.654289373,-0.61096779,-0.138492046
4/1/2008,-0.290600909,-0.348741135,4/1/2008,2008,99,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,93.20297285,3796.633363,9.654289373,-0.61096779,-0.138492046
5/1/2008,1.318268363,0.278720027,5/1/2008,2008,100,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,108.6022837,3796.633363,9.654289373,-0.61096779,-0.138492046
6/1/2008,0.983997057,0.181669311,6/1/2008,2008,101,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,83.7834093,3796.633363,9.654289373,-0.61096779,-0.138492046
7/1/2008,-0.277137239,-0.017278522,7/1/2008,2008,102,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,89.69793645,3796.633363,9.654289373,-0.61096779,-0.138492046
8/1/2008,0.029713373,-0.199476656,8/1/2008,2008,103,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,70.8930634,3796.633363,9.654289373,-0.61096779,-0.138492046
9/1/2008,-0.867154717,-0.321358596,9/1/2008,2008,104,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,87.39167332,3796.633363,9.654289373,-0.61096779,-0.138492046
10/1/2008,-0.389121061,-0.313627212,10/1/2008,2008,105,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,94.17704132,3796.633363,9.654289373,-0.61096779,-0.138492046
11/1/2008,-0.233524717,-0.032505444,11/1/2008,2008,106,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,100.9114212,3796.633363,9.654289373,-0.61096779,-0.138492046
12/1/2008,-0.765319567,-0.128635428,12/1/2008,2008,107,China,7924.644365,-0.52,0.150767997,-0.491274953,-0.15,-0.42,-1.699497223,95.03162676,3796.633363,9.654289373,-0.61096779,-0.138492046
1/1/2009,-0.212407052,-0.155289792,1/1/2009,2009,108,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,102.0160402,4132.902312,9.399813171,0.45964683,0.185669569
2/1/2009,-0.775793977,-0.420530358,2/1/2009,2009,109,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,101.0321649,4132.902312,9.399813171,0.45964683,0.185669569
3/1/2009,-0.494722838,-0.073945309,3/1/2009,2009,110,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,105.4900217,4132.902312,9.399813171,0.45964683,0.185669569
4/1/2009,-0.368518884,-0.353599212,4/1/2009,2009,111,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,98.91713803,4132.902312,9.399813171,0.45964683,0.185669569
5/1/2009,-1.989806118,-0.405991527,5/1/2009,2009,112,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,101.3430293,4132.902312,9.399813171,0.45964683,0.185669569
6/1/2009,-0.372604697,-0.382860179,6/1/2009,2009,113,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,98.42354387,4132.902312,9.399813171,0.45964683,0.185669569
7/1/2009,0.207005367,-0.046378794,7/1/2009,2009,114,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,82.48959135,4132.902312,9.399813171,0.45964683,0.185669569
8/1/2009,0.969889452,0.177771769,8/1/2009,2009,115,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,94.76283735,4132.902312,9.399813171,0.45964683,0.185669569
9/1/2009,0.41090912,0.038916971,9/1/2009,2009,116,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,93.91259492,4132.902312,9.399813171,0.45964683,0.185669569
10/1/2009,-0.383589713,-0.177960787,10/1/2009,2009,117,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,82.08165721,4132.902312,9.399813171,0.45964683,0.185669569
11/1/2009,0.434327664,0.258111065,11/1/2009,2009,118,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,87.84059131,4132.902312,9.399813171,0.45964683,0.185669569
12/1/2009,-0.511757604,0.041836418,12/1/2009,2009,119,China,8626.532479,-0.51,0.093804412,-0.449346364,-0.22,-0.41,-1.701171041,86.01285859,4132.902312,9.399813171,0.45964683,0.185669569
1/1/2010,0.959986906,0.275601483,1/1/2010,2010,120,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,76.43050497,4550.453596,10.63614046,0.410827839,0.129402704
2/1/2010,0.159128215,0.148798793,2/1/2010,2010,121,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,70.80649359,4550.453596,10.63614046,0.410827839,0.129402704
3/1/2010,0.070153501,-0.014367366,3/1/2010,2010,122,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,61.94590904,4550.453596,10.63614046,0.410827839,0.129402704
4/1/2010,-0.648681438,-0.415367327,4/1/2010,2010,123,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,70.96263552,4550.453596,10.63614046,0.410827839,0.129402704
5/1/2010,0.248297602,0.118275883,5/1/2010,2010,124,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,96.43381835,4550.453596,10.63614046,0.410827839,0.129402704
6/1/2010,-1.301915245,-0.267269369,6/1/2010,2010,125,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,78.15373309,4550.453596,10.63614046,0.410827839,0.129402704
7/1/2010,1.148733868,0.305962256,7/1/2010,2010,126,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,70.26852826,4550.453596,10.63614046,0.410827839,0.129402704
8/1/2010,0.298624022,0.159193871,8/1/2010,2010,127,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,73.72560229,4550.453596,10.63614046,0.410827839,0.129402704
9/1/2010,-0.466482787,-0.253304399,9/1/2010,2010,128,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,80.52719915,4550.453596,10.63614046,0.410827839,0.129402704
10/1/2010,-0.587281229,-0.291082605,10/1/2010,2010,129,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,107.5417365,4550.453596,10.63614046,0.410827839,0.129402704
11/1/2010,-0.04293148,-0.190015485,11/1/2010,2010,130,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,98.35414547,4550.453596,10.63614046,0.410827839,0.129402704
12/1/2010,1.417557554,0.483892771,12/1/2010,2010,131,China,9498.079744,-0.56,0.088648684,-0.657060683,-0.23,-0.41,-1.68054831,98.81100007,4550.453596,10.63614046,0.410827839,0.129402704
1/1/2011,0.295689915,0.070449484,1/1/2011,2011,132,China,10355.49571,-0.51,0.088201523,-0.602054834,-0.22,-0.46,-1.637609124,99.18857184,4961.234689,9.55091409,1.046262831,0.267792573
